character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate,char1_normalized,char2_normalized,id_char1,weight_char1,recovery_char1,speed_char1,combo_game_char1,projectiles_char1,killpower_char1,ledgetrap_char1,edgeguard_char1,spacing_char1,cheese_char1,popularity_char1,pro_scene_char1,online_winrate_char1,easy_char1,id_char2,weight_char2,recovery_char2,speed_char2,combo_game_char2,projectiles_char2,killpower_char2,ledgetrap_char2,edgeguard_char2,spacing_char2,cheese_char2,popularity_char2,pro_scene_char2,online_winrate_char2,easy_char2,Weight_char1,Gravity_char1,Run Maximum Velocity_char1,Walk Maximum Velocity_char1,Maximum Horizontal Air Speed_char1,Maximum Fall Speed_char1,Dash Initial Velocity_char1,Maximum Air Acceleration_char1,Weight_char2,Gravity_char2,Run Maximum Velocity_char2,Walk Maximum Velocity_char2,Maximum Horizontal Air Speed_char2,Maximum Fall Speed_char2,Dash Initial Velocity_char2,Maximum Air Acceleration_char2,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff,Weight_diff,Gravity_diff,Run Maximum Velocity_diff,Walk Maximum Velocity_diff,Maximum Horizontal Air Speed_diff,Maximum Fall Speed_diff,Dash Initial Velocity_diff,Maximum Air Acceleration_diff,matchup_binary
mii swordfighter,young link,6,1,7,0.8571428571428571,Mii Swordfighter,Young Link,52,100,6,4,28,4,139,18,20,5,6.0,5000,3.514,52.55,3.1267,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,,,,,,,,,,,,,,,,,12,0,-1,-3,-1,-9,0,11,1,-1.0,,,,,,,,,Char1_Wins
kirby,littlemac,5,0,5,1.0,Kirby,Little Mac,6,79,3,3,31,1,144,8,20,2,2.0,13000,3.633,43.34,2.623533333,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,79.0,0.064,1.727,0.977,0.84,1.23,1.9,0.095,87.0,0.09,2.464,1.386,1.208,1.95,2.365,0.04,-8,2,-5,6,0,28,-17,16,0,-8.0,-8.0,-0.025999999999999995,-0.7369999999999999,-0.4089999999999999,-0.368,-0.72,-0.4650000000000003,0.055,Char1_Wins
falco,ganondorf,4,8,12,0.3333333333333333,Falco,Ganondorf,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,23,118,1,2,26,1,133,10,12,2,5.0,14000,1.467,45.5,2.4744,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,,,,,,,,,-36,2,3,8,1,-5,3,14,1,-3.0,,,,,,,,,Char2_Wins
falco,kirby,7,5,12,0.5833333333333334,Falco,Kirby,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,6,79,3,3,31,1,144,8,20,2,2.0,13000,3.633,43.34,2.623533333,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,79.0,0.064,1.727,0.977,0.84,1.23,1.9,0.095,3,0,2,3,1,-16,5,6,1,0.0,3.0,0.066,-0.1080000000000001,0.3670000000000001,0.137,0.5700000000000001,0.13500000000000023,0.0050000000000000044,Char1_Wins
piranha plant,sonic,4,3,7,0.5714285714285714,Piranha Plant,Sonic,70,112,4,3,28,4,144,18,18,2,6.0,9300,3.402,46.99,3.6618,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,,,,,,,,,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,26,-4,-6,-2,3,5,4,-15,0,-3.0,,,,,,,,,Char1_Wins
falco,ryu,4,1,5,0.8,Falco,Ryu,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,103.0,0.12,1.6,0.75,1.12,1.6,1.76,0.035,-21,-1,2,-1,-1,0,4,24,2,-1.0,-21.0,0.010000000000000009,0.018999999999999906,0.5940000000000001,-0.14300000000000013,0.19999999999999996,0.27500000000000013,0.065,Char1_Wins
ike,kirby,9,3,12,0.75,Ike,Kirby,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,6,79,3,3,31,1,144,8,20,2,2.0,13000,3.633,43.34,2.623533333,107.0,0.092,1.507,0.912,1.134,1.65,1.815,0.05,79.0,0.064,1.727,0.977,0.84,1.23,1.9,0.095,29,3,0,-2,0,-26,-3,-12,3,-1.0,28.0,0.027999999999999997,-0.2200000000000002,-0.06499999999999995,0.29399999999999993,0.41999999999999993,-0.08499999999999996,-0.045,Char1_Wins
littlemac,snake,13,5,18,0.7222222222222222,Little Mac,Snake,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,87.0,0.09,2.464,1.386,1.208,1.95,2.365,0.04,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,-19,-6,5,5,-4,-23,23,-8,1,0.0,-19.0,0.009999999999999995,0.869,0.5039999999999999,0.22099999999999997,0.21999999999999997,0.6050000000000002,0.010000000000000002,Char1_Wins
sheik,snake,26,23,49,0.5306122448979592,Sheik,Snake,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,78.0,0.15,2.42,1.47,1.155,1.75,2.178,0.09,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,-28,1,5,8,-3,-10,12,22,0,-9.0,-28.0,0.06999999999999999,0.825,0.588,0.16800000000000004,0.020000000000000018,0.4179999999999999,0.06,Char1_Wins
kirby,sonic,11,2,13,0.8461538461538461,Kirby,Sonic,6,79,3,3,31,1,144,8,20,2,2.0,13000,3.633,43.34,2.623533333,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,79.0,0.064,1.727,0.977,0.84,1.23,1.9,0.095,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,-7,-5,-6,1,0,5,-6,-13,0,-7.0,-7.0,-0.025999999999999995,-2.123,-0.46699999999999997,-0.368,-0.41999999999999993,-0.41000000000000014,0.045,Char1_Wins
cloud,lucas,15,1,16,0.9375,Cloud,Lucas,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,94.0,0.09,1.65,0.893,1.155,1.37,1.815,0.095,6,-3,2,5,-2,-10,2,-13,1,-3.0,6.0,0.008000000000000007,0.5169999999999999,0.262,0.0,0.30999999999999983,0.33000000000000007,-0.024999999999999994,Char1_Wins
incineroar,pikachu,5,8,13,0.3846153846153846,Incineroar,Pikachu,69,116,2,1,31,1,125,23,15,2,9.0,15600,5.45,50.46,3.262866667,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,,,,,,,,,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,37,-7,-5,4,-2,-20,14,-23,0,1.0,,,,,,,,,Char2_Wins
incineroar,kirby,3,2,5,0.6,Incineroar,Kirby,69,116,2,1,31,1,125,23,15,2,9.0,15600,5.45,50.46,3.262866667,6,79,3,3,31,1,144,8,20,2,2.0,13000,3.633,43.34,2.623533333,,,,,,,,,79.0,0.064,1.727,0.977,0.84,1.23,1.9,0.095,37,-1,-2,0,0,-19,15,-5,0,7.0,,,,,,,,,Char1_Wins
lucas,zero suit samus,5,2,7,0.7142857142857143,Lucas,Zero Suit Samus,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,94.0,0.09,1.65,0.893,1.155,1.37,1.815,0.095,,,,,,,,,14,-3,-4,3,2,25,-2,3,1,2.0,,,,,,,,,Char1_Wins
lucas,shulk,3,6,9,0.3333333333333333,Lucas,Shulk,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,94.0,0.09,1.65,0.893,1.155,1.37,1.815,0.095,97.0,0.098,1.672,1.155,1.113,1.58,1.87,0.05,-3,-1,0,1,3,29,2,-11,-1,-2.0,-3.0,-0.008000000000000007,-0.02200000000000002,-0.262,0.04200000000000004,-0.20999999999999996,-0.05500000000000016,0.045,Char2_Wins
shulk,wii fit trainer,4,3,7,0.5714285714285714,Shulk,Wii Fit Trainer,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,47,96,5,5,31,4,153,26,6,1,6.0,12000,4.553,54.15,4.331466667,97.0,0.098,1.672,1.155,1.113,1.58,1.87,0.05,,,,,,,,,1,2,-1,-3,-3,-32,-13,35,4,2.0,,,,,,,,,Char1_Wins
cloud,isabelle,13,5,18,0.7222222222222222,Cloud,Isabelle,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,,,,,,,,,12,-2,3,6,-3,6,-4,-4,3,-4.0,,,,,,,,,Char1_Wins
lucario,snake,18,8,26,0.6923076923076923,Lucario,Snake,41,92,7,6,30,3,126,14,7,2,7.0,4500,5.058,44.84,4.481316667,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,92.0,0.084,1.705,1.103,1.281,1.68,2.255,0.09,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,-14,0,3,10,-2,-13,12,-5,1,-3.0,-14.0,0.0040000000000000036,0.1100000000000001,0.22099999999999997,0.29399999999999993,-0.050000000000000044,0.4949999999999999,0.06,Char1_Wins
megaman,snake,17,12,29,0.5862068965517241,Megaman,Snake,46,102,8,5,22,5,134,14,25,2,5.0,7500,6.163,50.75,4.9315,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,,,,,,,,,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,-4,1,2,2,0,-5,12,13,1,-5.0,,,,,,,,,Char1_Wins
megaman,zero suit samus,8,6,14,0.5714285714285714,Megaman,Zero Suit Samus,46,102,8,5,22,5,134,14,25,2,5.0,7500,6.163,50.75,4.9315,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,,,,,,,,,,,,,,,,,22,-1,-3,-4,3,9,-3,-2,-1,1.0,,,,,,,,,Char1_Wins
incineroar,pichu,9,4,13,0.6923076923076923,Incineroar,Pichu,69,116,2,1,31,1,125,23,15,2,9.0,15600,5.45,50.46,3.262866667,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,,,,,,,,,62.0,0.14,1.892,1.302,1.029,1.9,1.98,0.1,54,-7,-4,0,-2,-13,11,-18,0,1.0,,,,,,,,,Char1_Wins
pichu,pokemon trainer,9,11,20,0.45,Pichu,Pokemon Trainer,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,62.0,0.14,1.892,1.302,1.029,1.9,1.98,0.1,,,,,,,,,-34,2,0,-3,0,6,1,-5,-1,3.0,,,,,,,,,Char2_Wins
banjo & kazooie,snake,7,4,11,0.6363636363636364,Banjo & Kazooie,Snake,73,106,4,4,24,5,142,13,20,3,7.0,15700,4.674,51.45,3.542166667,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,,,,,,,,,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,0,-3,1,4,0,3,11,8,2,-3.0,,,,,,,,,Char1_Wins
banjo & kazooie,incineroar,4,5,9,0.4444444444444444,Banjo & Kazooie,Incineroar,73,106,4,4,24,5,142,13,20,3,7.0,15700,4.674,51.45,3.542166667,69,116,2,1,31,1,125,23,15,2,9.0,15600,5.45,50.46,3.262866667,,,,,,,,,,,,,,,,,-10,2,3,-7,4,17,-10,5,1,-2.0,,,,,,,,,Char2_Wins
pichu,snake,14,11,25,0.56,Pichu,Snake,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,62.0,0.14,1.892,1.302,1.029,1.9,1.98,0.1,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,-44,2,2,11,-2,-1,10,21,1,-2.0,-44.0,0.06000000000000001,0.29699999999999993,0.42000000000000004,0.041999999999999926,0.16999999999999993,0.21999999999999997,0.07,Char1_Wins
chrom,pikachu,7,5,12,0.5833333333333334,Chrom,Pikachu,250,95,2,7,28,1,122,26,17,4,2.0,6600,5.222,45.24,3.10025,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,16,-7,1,1,-2,-23,17,-21,2,-6.0,16.0,0.019000000000000003,0.10599999999999987,-0.09400000000000008,0.3450000000000001,0.25,0.2200000000000002,-0.05,Char1_Wins
chrom,inkling,12,10,22,0.5454545454545454,Chrom,Inkling,250,95,2,7,28,1,122,26,17,4,2.0,6600,5.222,45.24,3.10025,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,94.0,0.087,1.925,1.134,1.208,1.58,2.118,0.08,1,-7,1,-5,-2,-7,16,-21,3,-3.0,1.0,0.02700000000000001,0.21999999999999997,0.07400000000000007,0.09400000000000008,0.21999999999999997,0.0820000000000003,-0.03,Char1_Wins
inkling,king dedede,10,13,23,0.4347826086956521,Inkling,King Dedede,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,39,127,7,2,28,4,122,28,26,5,10.0,23200,3.009,54.63,2.985166667,94.0,0.087,1.925,1.134,1.208,1.58,2.118,0.08,,,,,,,,,-33,2,4,5,-1,7,-18,12,-4,-5.0,,,,,,,,,Char2_Wins
cloud,pikachu,20,15,35,0.5714285714285714,Cloud,Pikachu,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,21,-6,0,7,-1,-5,8,-21,3,-5.0,21.0,0.0030000000000000027,0.12799999999999967,-0.14700000000000002,0.19800000000000006,0.1299999999999999,0.16500000000000004,-0.03,Char1_Wins
chrom,shulk,9,9,18,0.5,Chrom,Shulk,250,95,2,7,28,1,122,26,17,4,2.0,6600,5.222,45.24,3.10025,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,97.0,0.098,1.672,1.155,1.113,1.58,1.87,0.05,-2,-5,3,0,0,1,13,-24,-1,-6.0,-2.0,0.016,0.4730000000000001,0.052999999999999936,0.18900000000000006,0.21999999999999997,0.33000000000000007,0.0,Char1_Wins
king dedede,shulk,5,3,8,0.625,King Dedede,Shulk,39,127,7,2,28,4,122,28,26,5,10.0,23200,3.009,54.63,2.985166667,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,,,,,,,,,97.0,0.098,1.672,1.155,1.113,1.58,1.87,0.05,30,0,-2,0,3,1,15,-15,0,2.0,,,,,,,,,Char1_Wins
inkling,steve,13,2,15,0.8666666666666667,Inkling,Steve,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,94.0,0.087,1.925,1.134,1.208,1.58,2.118,0.08,,,,,,,,,2,1,5,-2,0,5,-3,27,-1,-5.0,,,,,,,,,Char1_Wins
falco,yoshi,17,10,27,0.6296296296296297,Falco,Yoshi,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,5,104,7,6,29,2,133,13,18,2,5.0,21400,8.496,50.61,3.037116667,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,104.0,0.08,2.046,1.208,1.344,1.29,1.98,0.098,-22,-4,-1,5,0,-5,0,8,1,-3.0,-22.0,0.05,-0.4269999999999998,0.13600000000000012,-0.3670000000000001,0.51,0.05500000000000016,0.0020000000000000018,Char1_Wins
joker,joker,6,5,11,0.5454545454545454,Joker,Joker,71,93,8,5,28,3,135,8,41,4,7.0,31000,8.827,41.78,4.3803,71,93,8,5,28,3,135,8,41,4,7.0,31000,8.827,41.78,4.3803,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,Char1_Wins
inkling,lucario,6,3,9,0.6666666666666666,Inkling,Lucario,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,41,92,7,6,30,3,126,14,7,2,7.0,4500,5.058,44.84,4.481316667,94.0,0.087,1.925,1.134,1.208,1.58,2.118,0.08,92.0,0.084,1.705,1.103,1.281,1.68,2.255,0.09,2,2,0,3,0,3,-4,31,-1,-2.0,2.0,0.002999999999999989,0.21999999999999997,0.030999999999999917,-0.07299999999999995,-0.09999999999999987,-0.137,-0.009999999999999995,Char1_Wins
inkling,zero suit samus,12,3,15,0.8,Inkling,Zero Suit Samus,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,94.0,0.087,1.925,1.134,1.208,1.58,2.118,0.08,,,,,,,,,14,0,-2,7,1,4,-7,11,-2,1.0,,,,,,,,,Char1_Wins
king dedede,ridley,4,2,6,0.6666666666666666,King Dedede,Ridley,39,127,7,2,28,4,122,28,26,5,10.0,23200,3.009,54.63,2.985166667,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,,,,,,,,,107.0,0.09,2.2,1.1,1.05,1.78,1.8,0.07,20,3,-3,1,1,-12,14,2,2,8.0,,,,,,,,,Char1_Wins
king dedede,king k. rool,9,1,10,0.9,King Dedede,King K. Rool,39,127,7,2,28,4,122,28,26,5,10.0,23200,3.009,54.63,2.985166667,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,,,,,,,,,,,,,,,,,-6,2,-1,-1,0,-8,11,15,2,0.0,,,,,,,,,Char1_Wins
king k. rool,roy,7,4,11,0.6363636363636364,King K. Rool,Roy,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,,,,,,,,,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,38,1,-4,-2,3,8,-2,0,-1,7.0,,,,,,,,,Char1_Wins
king dedede,steve,6,1,7,0.8571428571428571,King Dedede,Steve,39,127,7,2,28,4,122,28,26,5,10.0,23200,3.009,54.63,2.985166667,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,,,,,,,,,,,,,,,,,35,-1,1,-7,1,-2,15,15,3,0.0,,,,,,,,,Char1_Wins
byleth,cloud,8,11,19,0.4210526315789473,Byleth,Cloud,75,97,5,2,28,2,126,22,21,5,3.0,24700,6.371,42.46,3.583966667,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,,,,,,,,,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,-3,2,-4,-6,0,-14,5,4,0,0.0,,,,,,,,,Char2_Wins
byleth,zero suit samus,4,2,6,0.6666666666666666,Byleth,Zero Suit Samus,75,97,5,2,28,2,126,22,21,5,3.0,24700,6.371,42.46,3.583966667,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,,,,,,,,,,,,,,,,,17,-4,-6,2,0,1,5,-6,2,-1.0,,,,,,,,,Char1_Wins
cloud,inkling,25,18,43,0.5813953488372093,Cloud,Inkling,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,94.0,0.087,1.925,1.134,1.208,1.58,2.118,0.08,6,-6,0,1,-1,11,7,-21,4,-2.0,6.0,0.01100000000000001,0.24199999999999977,0.02100000000000013,-0.052999999999999936,0.09999999999999987,0.027000000000000135,-0.009999999999999995,Char1_Wins
cloud,roy,23,8,31,0.7419354838709677,Cloud,Roy,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,5,-1,-1,3,1,18,-2,6,1,0.0,5.0,-0.016,0.021999999999999797,-0.052999999999999936,-0.14700000000000002,-0.1200000000000001,-0.05500000000000016,0.020000000000000004,Char1_Wins
byleth,inkling,9,8,17,0.5294117647058824,Byleth,Inkling,75,97,5,2,28,2,126,22,21,5,3.0,24700,6.371,42.46,3.583966667,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,,,,,,,,,94.0,0.087,1.925,1.134,1.208,1.58,2.118,0.08,3,-4,-4,-5,-1,-3,12,-17,4,-2.0,,,,,,,,,Char1_Wins
cloud,palutena,31,24,55,0.5636363636363636,Cloud,Palutena,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,9,-2,0,5,-1,4,-9,-10,2,-2.0,9.0,-0.021999999999999992,0.08999999999999986,-0.11599999999999988,0.15500000000000003,0.1299999999999999,0.10999999999999988,-0.045,Char1_Wins
lucina,wolf,40,23,63,0.6349206349206349,Lucina,Wolf,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,90.0,0.075,1.964,1.575,1.071,1.58,2.255,0.08,92.0,0.13,1.54,1.208,1.281,1.8,2.09,0.09,-2,1,2,-4,-1,10,-1,7,2,-1.0,-2.0,-0.05500000000000001,0.42399999999999993,0.367,-0.20999999999999996,-0.21999999999999997,0.16500000000000004,-0.009999999999999995,Char1_Wins
king k. rool,peach,6,6,12,0.5,King K. Rool,Peach,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,13,89,7,3,40,4,149,18,36,3,4.0,8900,9.04,50.22,5.915266667,,,,,,,,,89.0,0.07,1.595,0.924,1.029,1.19,1.826,0.12,44,-2,0,-11,0,-19,-1,-25,0,6.0,,,,,,,,,Char1_Wins
link,peach,9,7,16,0.5625,Link,Peach,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,13,89,7,3,40,4,149,18,36,3,4.0,8900,9.04,50.22,5.915266667,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,89.0,0.07,1.595,0.924,1.029,1.19,1.826,0.12,15,-2,1,-15,1,-16,5,-22,1,-1.0,15.0,0.025999999999999995,-0.06099999999999994,0.32300000000000006,-0.10499999999999987,0.41000000000000014,0.15399999999999991,-0.06999999999999999,Char1_Wins
greninja,lucina,14,7,21,0.6666666666666666,Greninja,Lucina,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,,,,,,,,,90.0,0.075,1.964,1.575,1.071,1.58,2.255,0.08,-2,-1,1,0,1,-14,0,-12,-1,0.0,,,,,,,,,Char1_Wins
king k. rool,palutena,17,9,26,0.6538461538461539,King K. Rool,Palutena,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,,,,,,,,,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,42,0,-3,0,1,-6,-9,-16,0,5.0,,,,,,,,,Char1_Wins
greninja,king k. rool,9,5,14,0.6428571428571429,Greninja,King K. Rool,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,,,,,,,,,,,,,,,,,-45,0,5,-1,-2,-5,-1,6,1,-9.0,,,,,,,,,Char1_Wins
cloud,lucina,20,22,42,0.4761904761904761,Cloud,Lucina,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,90.0,0.075,1.964,1.575,1.071,1.58,2.255,0.08,10,-3,-1,6,1,1,1,-12,0,2.0,10.0,0.023000000000000007,0.20299999999999985,-0.41999999999999993,0.08400000000000007,0.09999999999999987,-0.10999999999999988,-0.009999999999999995,Char2_Wins
greninja,link,10,11,21,0.4761904761904761,Greninja,Link,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,,,,,,,,,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,-16,0,4,3,-3,-8,-7,3,0,-2.0,,,,,,,,,Char2_Wins
palutena,peach,22,25,47,0.4680851063829787,Palutena,Peach,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,13,89,7,3,40,4,149,18,36,3,4.0,8900,9.04,50.22,5.915266667,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,89.0,0.07,1.595,0.924,1.029,1.19,1.826,0.12,2,-2,3,-11,-1,-13,8,-9,0,1.0,2.0,0.04999999999999999,0.482,0.34699999999999986,-0.028999999999999915,0.3600000000000001,0.20900000000000007,-0.0049999999999999906,Char2_Wins
cloud,link,35,21,56,0.625,Cloud,Link,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,-4,-2,2,9,-3,7,-6,3,1,0.0,-4.0,0.0020000000000000018,0.6329999999999998,-0.09200000000000008,0.23099999999999998,0.07999999999999985,0.16500000000000004,0.020000000000000004,Char1_Wins
palutena,wolf,54,36,90,0.6,Palutena,Wolf,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,92.0,0.13,1.54,1.208,1.281,1.8,2.09,0.09,-1,0,1,-3,1,7,9,5,0,3.0,-1.0,-0.010000000000000009,0.5369999999999999,0.06299999999999994,-0.2809999999999999,-0.25,-0.054999999999999716,0.02500000000000001,Char1_Wins
